Employee Name;Building;Department;SS#;Phone;Status;Hire Date;Month;Years;Benefits; Comp. ;Job Rating;;;;;;
Evans, Rolin;North;Manufacturing;167-05-8119;(252) 723-7007;Hourly;02/02/2008;February; 13 ;; 8.892 ;1;;;;;;
Everett, Dan;North;Compliance;534-03-4571;(252) 616-9135;Half-Time;15/09/2012;September; 8 ; M ; 46.095 ;3;;;;;;
Farmer, Suzanne;Main;Manufacturing;775-21-7609;(919) 159-1006;Full Time;25/12/1998;December; 22 ; R ; 24.710 ;2;;;;;;
Farrell, Laura;North;Quality Control;277-42-3593;(919) 579-0921;Half-Time;17/03/1996;March; 25 ; R ; 13.455 ;2;;;;;;
Ferguson, John;North;Quality Control;101-82-9876;(252) 255-2565;Hourly;16/04/2001;April; 19 ;; 33.752 ;3;;;;;;
Fernandez, Marie;Main;Project & Contract Services;924-94-2231;(919) 327-9828;Half-Time;04/10/2014;October; 6 ; D ; 25.245 ;5;;;;;;
Fields, Cathy;Main;Process Development;803-77-6506;(252) 692-0236;Full Time;28/09/2001;September; 19 ; DM ; 77.950 ;4;;;;;;
Figueroa, Leonard;Main;Engineering/Maintenance;873-10-0939;(919) 125-9179;Full Time;15/07/2014;July; 6 ; DMR ; 41.490 ;5;;;;;;
Finley, James;Main;Professional Training Group;444-15-9297;(252) 245-6406;Full Time;09/08/1996;August; 24 ; DMR ; 81.530 ;5;;;;;;
Hunter, Lisa;North;Admin Training;542-05-1793;(252) 731-7354;Full Time;24/01/2004;January; 17 ; DMR ; 75.150 ;1;;;;;;
Fisher, Maria;West;Project & Contract Services;106-68-6151;(252) 124-6633;Contract;03/08/2003;August; 17 ;; 47.520 ;1;;;;;;
Fitzgerald, George;Main;Process Development;290-38-5638;(919) 451-8022;Half-Time;06/07/1996;July; 24 ; DM ; 35.045 ;4;;;;;;
Fleming, Irv;Taft;ADC;411-52-6157;(919) 581-8082;Hourly;15/06/1997;June; 23 ;; 35.680 ;2;;;;;;
Fletcher, Brian;North;Manufacturing;130-61-9578;(919) 505-7530;Contract;26/04/2005;April; 15 ;; 89.520 ;5;;;;;;
Flores, Angela;North;Quality Control;296-64-1985;(252) 821-7409;Full Time;01/05/2002;May; 18 ; R ; 41.380 ;2;;;;;;
Flowers, Kathleen;Watson;Manufacturing;881-97-5933;(919) 235-4572;Full Time;20/11/2002;November; 18 ; M ; 35.460 ;5;;;;;;
Floyd, Eric;West;Operations;422-92-9693;(919) 148-7375;Full Time;01/03/2005;March; 16 ; R ; 52.490 ;4;;;;;;
Flynn, Melissa;West;ADC;914-42-8485;(252) 177-4590;Half-Time;07/12/1995;December; 25 ; DM ; 26.795 ;4;;;;;;
Foley, Peter;North;Project & Contract Services;945-16-0038;(252) 790-9707;Full Time;04/01/2008;January; 13 ; DM ; 23.560 ;3;;;;;;
Ford, Matt;North;Manufacturing;561-73-7107;(919) 829-4156;Full Time;05/09/2000;September; 20 ; R ; 73.072 ;5;;;;;;
Foster, Blane;North;Manufacturing;482-92-7373;(919) 841-3271;Full Time;20/01/2002;January; 19 ; R ; 32.390 ;2;;;;;;
Fowler, John;Taft;Process Development;711-44-5298;(252) 835-9862;Contract;01/01/2016;January; 5 ;; 84.300 ;1;;;;;;
Fox, Ellen;West;Manufacturing;353-41-4196;(252) 815-9919;Full Time;06/04/2005;April; 15 ; M ; 23.650 ;1;;;;;;
Love, Danny;North;Admin Training;608-79-6012;(919) 407-5460;Full Time;31/05/1997;May; 23 ; DMR ; 79.760 ;5;;;;;;
Frank, William;North;Manufacturing;564-90-8088;(919) 338-6758;Full Time;10/11/2009;November; 11 ; DMR ; 87.760 ;1;;;;;;
Franklin, Alicia;West;Professional Training Group;671-36-0508;(252) 838-5730;Half-Time;30/07/1995;July; 25 ; DM ; 39.620 ;5;;;;;;
Frazier, Chris;Main;Operations;999-15-6829;(252) 140-1774;Full Time;12/07/2015;July; 5 ; DMR ; 33.970 ;4;;;;;;
Freeman, Dennis;Main;International Clinical Safety;999-78-9446;(252) 169-6804;Full Time;07/07/2001;July; 19 ; DMR ; 66.740 ;2;;;;;;
French, Robert;Watson;Manufacturing;484-21-7278;(919) 562-7374;Hourly;11/08/2013;August; 7 ;; 10.572 ;4;;;;;;
Frost, Adam;Main;Project & Contract Services;548-28-3920;(252) 416-0215;Contract;01/03/2004;March; 17 ;; 57.990 ;5;;;;;;
Fuller, Brenda;Main;Quality Assurance;863-73-6129;(252) 277-8445;Half-Time;01/07/2002;July; 18 ; R ; 42.740 ;2;;;;;;
Gaines, Sheela;West;Logistics;304-06-8732;(252) 391-9445;Half-Time;29/01/1997;January; 24 ; DMR ; 34.110 ;4;;;;;;
Gallagher, Johnson;Main;Project & Contract Services;313-35-8310;(919) 544-2791;Full Time;26/06/1998;June; 22 ; DMR ; 62.688 ;2;;;;;;
Lowe, Michelle;Main;Admin Training;202-81-5919;(252) 846-7597;Contract;31/01/1998;January; 23 ;; 66.580 ;5;;;;;;
Garcia, Karen;Main;Operations;168-79-1562;(919) 416-1772;Full Time;17/04/2015;April; 5 ; M ; 75.780 ;2;;;;;;
Gardner, Anthony;Watson;Quality Control;147-68-3641;(919) 165-7646;Contract;21/03/2015;March; 5 ;; 47.280 ;1;;;;;;
Garner, Terry;Main;Manufacturing;995-85-8336;(252) 503-5104;Contract;04/08/2015;August; 5 ;; 37.840 ;1;;;;;;
Garrett, Chris;North;Operations;479-08-1328;(252) 536-8383;Contract;25/06/2002;June; 18 ;; 63.850 ;2;;;;;;
Garrison, Chris;Main;Logistics;282-97-2141;(252) 713-5797;Contract;09/03/2003;March; 18 ;; 25.120 ;5;;;;;;
Garza, Anthony;North;Manufacturing;589-64-9495;(252) 424-8455;Full Time;15/04/2005;April; 15 ; D ; 38.870 ;2;;;;;;
Gates, Anne;South;Logistics;525-50-7320;(252) 393-8131;Full Time;26/06/2004;June; 16 ; D ; 39.680 ;5;;;;;;
Gentry, John;South;Logistics;279-59-1317;(252) 238-1391;Hourly;27/01/2004;January; 17 ;; 38.768 ;4;;;;;;
George, Jessica;South;Process Development;213-74-1822;(252) 178-0498;Contract;19/02/2003;February; 18 ;; 63.330 ;4;;;;;;
Gibbs, Debra;North;Logistics;927-04-3360;(252) 605-3287;Contract;19/04/1996;April; 24 ;; 22.320 ;2;;;;;;
Gibson, Janet;North;Process Development;619-46-5100;(919) 462-9606;Full Time;03/05/2011;May; 9 ; DM ; 27.560 ;2;;;;;;
Gilbert, Shannon;Taft;Manufacturing;682-90-7379;(252) 185-4525;Full Time;19/06/2001;June; 19 ; M ; 39.520 ;5;;;;;;
Giles, Kathleen;Main;Manufacturing;259-57-3806;(919) 330-2808;Full Time;29/11/1996;November; 24 ; D ; 60.380 ;4;;;;;;
Gill, Douglas;South;Project & Contract Services;369-21-0573;(252) 655-5049;Half-Time;12/12/2003;December; 17 ; R ; 22.475 ;4;;;;;;
Gilmore, Terry;Watson;Manufacturing;523-75-8324;(919) 130-8831;Full Time;08/08/2001;August; 19 ; DMR ; 59.320 ;4;;;;;;
Glass, John;Main;Manufacturing;332-28-9257;(919) 836-7725;Contract;01/05/2003;May; 17 ;; 68.260 ;5;;;;;;
Glenn, Christopher;North;Manufacturing;798-46-6688;(919) 223-2339;Full Time;10/11/2014;November; 6 ; DMR ; 35.600 ;5;;;;;;
Glover, Eugene;West;Process Development;623-82-3805;(919) 260-2559;Hourly;29/05/2015;May; 5 ;; 15.056 ;5;;;;;;
Golden, Christine;West;Process Development;724-19-3735;(252) 862-7048;Full Time;01/11/1996;November; 24 ; R ; 43.190 ;2;;;;;;
Gomez, Ed;South;Quality Control;749-76-8847;(252) 855-2110;Contract;19/05/2001;May; 19 ;; 41.770 ;5;;;;;;
Gonzales, David;Taft;Quality Control;688-76-9770;(919) 241-6398;Full Time;17/07/2010;July; 10 ; DMR ; 44.530 ;2;;;;;;
Gonzalez, David;North;Quality Assurance;489-66-7166;(252) 223-8881;Full Time;19/06/2004;June; 16 ; DM ; 45.880 ;5;;;;;;
Goodman, Kuyler;North;Quality Assurance;135-63-3006;(252) 673-2103;Contract;30/08/2004;August; 16 ;; 54.840 ;4;;;;;;
Goodwin, April;Taft;Process Development;551-13-2018;(252) 579-6953;Full Time;26/04/2015;April; 5 ; DMR ; 66.840 ;4;;;;;;
Gordon, Diane;North;Project & Contract Services;592-51-9945;(919) 599-0200;Full Time;14/10/2012;October; 8 ; DMR ; 44.650 ;1;;;;;;
Graham, David;Taft;Peptide Chemistry;859-20-4644;(919) 161-7913;Contract;06/08/2002;August; 18 ;; 86.470 ;4;;;;;;
Grant, Leonard;West;Manufacturing;772-16-3640;(919) 247-4315;Full Time;26/07/2004;July; 16 ; DMR ; 67.280 ;3;;;;;;
Graves, Michael;Watson;Process Development;297-80-6507;(919) 731-2659;Full Time;26/11/1999;November; 21 ; M ; 77.840 ;2;;;;;;
Gray, Mark;North;Project & Contract Services;475-67-1127;(919) 665-0531;Full Time;28/03/2003;March; 17 ; R ; 61.420 ;4;;;;;;
Green, Kim;Watson;Quality Control;758-00-1890;(252) 120-2348;Half-Time;05/06/2001;June; 19 ; R ; 38.105 ;2;;;;;;
Greene, Alexander;Main;Research Center;106-09-9892;(919) 443-6681;Contract;09/04/2016;April; 4 ;; 66.132 ;4;;;;;;
Martin, Terry;Main;Admin Training;781-91-3936;(919) 788-9149;Half-Time;25/03/2008;March; 12 ; D ; 17.735 ;3;;;;;;
Gregory, Jon;Main;Quality Assurance;404-58-9373;(919) 840-7416;Full Time;14/12/1997;December; 23 ; R ; 66.824 ;2;;;;;;
Griffin, Debbi;West;Manufacturing;467-03-0396;(252) 621-3620;Full Time;09/02/1997;February; 24 ; R ; 58.910 ;1;;;;;;
Griffith, Michelle;West;Pharmacokinetics;252-58-2122;(919) 776-4351;Contract;06/11/2001;November; 19 ;; 25.120 ;2;;;;;;
Grimes, Jeffrey;North;Quality Control;904-49-7673;(252) 127-7028;Contract;14/07/1995;July; 25 ;; 23.340 ;4;;;;;;
Massey, Mark;South;Admin Training;475-25-6935;(252) 785-2326;Full Time;24/08/2002;August; 18 ; R ; 85.300 ;2;;;;;;
Guerra, Karen;Watson;Project & Contract Services;546-15-9785;(252) 292-4678;Full Time;26/12/2009;December; 11 ; D ; 61.330 ;2;;;;;;
Guerrero, Laura;South;Engineering/Maintenance;683-22-2853;(919) 622-4056;Contract;02/02/2014;February; 7 ;; 25.790 ;3;;;;;;
Gutierrez, Regina;North;Quality Assurance;337-41-1408;(919) 472-9409;Full Time;16/10/2004;October; 16 ; DMR ; 29.260 ;4;;;;;;
Guzman, Don;Main;Project & Contract Services;330-87-9921;(919) 569-1314;Full Time;05/08/2003;August; 17 ; M ; 54.580 ;4;;;;;;
Hale, Deon;North;Manufacturing;377-19-4926;(919) 736-2525;Full Time;15/12/2015;December; 5 ; M ; 44.260 ;1;;;;;;
Hall, Jenny;North;Quality Control;794-81-4501;(252) 560-4891;Contract;12/12/2014;December; 6 ;; 80.729 ;3;;;;;;
Hamilton, Theo;North;Quality Assurance;826-50-8763;(252) 680-1348;Full Time;09/08/2013;August; 7 ; R ; 29.330 ;5;;;;;;
Hammond, Robert;North;Project & Contract Services;528-25-8211;(919) 472-7385;Full Time;28/06/1995;June; 25 ; M ; 46.110 ;4;;;;;;
Hampton, Catherine;Main;Compliance;601-94-2708;(919) 808-5402;Half-Time;20/09/2014;September; 6 ; R ; 28.680 ;1;;;;;;
Hancock, Allen;North;Operations;254-20-1611;(919) 780-3578;Full Time;20/12/1997;December; 23 ; M ; 45.180 ;5;;;;;;
Hansen, Andrew;North;Project & Contract Services;569-88-2669;(252) 312-2083;Full Time;24/08/2007;August; 13 ; DM ; 45.100 ;2;;;;;;
Hanson, Dennis;Main;Professional Training Group;904-79-0184;(919) 187-6990;Full Time;25/05/1996;May; 24 ; R ; 77.720 ;3;;;;;;
Hardin, Gregory;West;Project & Contract Services;808-01-2612;(919) 371-7553;Contract;09/12/1996;December; 24 ;; 60.550 ;2;;;;;;
Harding, Erin;West;Manufacturing;405-39-6173;(252) 177-7060;Full Time;01/11/2010;November; 10 ; D ; 68.710 ;4;;;;;;
Hardy, Svetlana;West;Quality Assurance;352-37-1400;(252) 544-1252;Hourly;03/11/1995;November; 25 ;; 30.468 ;2;;;;;;
Harmon, Paul;West;Process Development;847-05-1774;(252) 288-1600;Full Time;13/05/2013;May; 7 ; D ; 80.880 ;1;;;;;;
Harper, Cynthia;South;Manufacturing;504-91-4685;(919) 525-0630;Full Time;01/08/2003;August; 17 ; DMR ; 33.210 ;4;;;;;;
Harrell, Cristin;South;Process Development;291-80-3431;(252) 586-6679;Contract;16/09/2013;September; 7 ;; 54.000 ;3;;;;;;
Harrington, Aron;North;Engineering/Maintenance;164-90-4130;(252) 804-6670;Contract;04/03/2002;March; 19 ;; 84.200 ;2;;;;;;
Harris, Brian;Taft;Major Mfg Projects;117-89-6630;(919) 717-3558;Contract;09/01/2015;January; 6 ; M ; 71.190 ;4;;;;;;
Harrison, Jonathan;North;Operations;275-10-2740;(252) 162-0909;Full Time;15/01/1997;January; 24 ; DM ; 60.560 ;4;;;;;;
Hart, Richard;West;Project & Contract Services;378-88-2665;(252) 607-9829;Half-Time;22/12/1996;December; 24 ; DMR ; 46.380 ;3;;;;;;
Hartman, Michael;Main;Quality Control;318-72-3704;(919) 652-6117;Full Time;15/01/1999;January; 22 ; R ; 73.850 ;2;;;;;;
Harvey, Michael;West;Operations;738-94-6277;(919) 433-1646;Full Time;01/10/1995;October; 25 ; DM ; 31.260 ;5;;;;;;
Hatfield, Carl;Main;Engineering/Maintenance;513-14-0687;(919) 216-3497;Contract;06/10/1995;October; 25 ;; 42.940 ;1;;;;;;
Hawkins, Douglas;South;Quality Control;658-84-2625;(919) 378-8281;Half-Time;01/07/2003;July; 17 ; D ; 46.105 ;5;;;;;;
Hayes, Edward;North;Professional Training Group;219-74-0602;(919) 742-9525;Half-Time;04/02/1996;February; 25 ; D ; 16.015 ;3;;;;;;
Haynes, Ernest;Main;Pharmacokinetics;121-68-8720;(919) 479-4769;Contract;02/03/2002;March; 19 ;; 44.820 ;4;;;;;;
Heath, Deborah;Taft;Process Development;302-85-4692;(252) 865-1774;Half-Time;26/07/1999;July; 21 ; DMR ; 13.435 ;1;;;;;;
Henderson, Anthony;Main;Operations;400-26-0342;(919) 679-8743;Contract;04/05/2012;May; 8 ;; 74.470 ;3;;;;;;
Henry, Craig;North;Quality Assurance;195-77-2503;(919) 312-3940;Contract;22/08/1997;August; 23 ;; 55.690 ;2;;;;;;
Hensley, William;South;Engineering/Maintenance;163-29-2583;(252) 200-5810;Contract;16/06/2003;June; 17 ;; 30.340 ;3;;;;;;
Henson, Debra;North;Engineering/Operations;920-50-5896;(252) 317-3691;Contract;23/11/2010;November; 10 ;; 78.860 ;2;;;;;;
Herman, Henrietta;West;Project & Contract Services;828-71-5080;(252) 361-3559;Full Time;14/11/2000;November; 20 ; DM ; 61.148 ;2;;;;;;
Moore, Robert;South;Admin Training;415-07-6748;(919) 523-0846;Hourly;16/06/1996;June; 24 ; DMR ; 29.070 ;3;;;;;;
Herrera, Shawn;Watson;Quality Control;941-93-7371;(919) 506-0466;Full Time;27/09/2002;September; 18 ; DMR ; 86.320 ;4;;;;;;
Herring, Joanna;Main;Manufacturing;506-57-7536;(252) 499-9647;Hourly;09/03/2004;March; 17 ;; 9.424 ;4;;;;;;
Hess, Brian;Main;Peptide Chemistry;122-44-0839;(252) 652-5807;Half-Time;31/03/2003;March; 17 ; DMR ; 20.500 ;3;;;;;;
Hickman, John;Taft;Manufacturing;311-88-3362;(252) 650-5454;Contract;25/12/2006;December; 14 ;; 52.770 ;2;;;;;;
Hicks, Monica;Taft;Operations;788-45-1186;(919) 168-2521;Contract;09/03/2010;March; 11 ;; 57.520 ;3;;;;;;
Higgins, Angela;West;Manufacturing;488-83-1244;(919) 897-9762;Half-Time;15/10/2007;October; 13 ; DMR ; 24.460 ;1;;;;;;
Hill, Robin;Main;Engineering/Maintenance;242-09-9349;(252) 657-6057;Full Time;04/09/2015;September; 5 ; M ; 77.820 ;3;;;;;;
Hines, Herb;North;Quality Control;656-57-2514;(919) 367-9666;Contract;21/10/1997;October; 23 ;; 70.150 ;2;;;;;;
Hobbs, Scott;Main;Manufacturing;219-24-5495;(919) 825-6039;Contract;15/01/1999;January; 22 ;; 63.310 ;3;;;;;;
Hodge, Craig;North;Engineering/Operations;272-03-6635;(252) 165-6242;Full Time;04/07/2008;July; 12 ; DMR ; 86.530 ;1;;;;;;
Hodges, Lisa;Main;Logistics;249-76-0737;(252) 296-9056;Contract;26/09/1997;September; 23 ;; 81.070 ;5;;;;;;
Nelson, Shira;Taft;Admin Training;975-60-3308;(919) 269-3355;Full Time;13/03/2007;March; 14 ; DMR ; 30.780 ;4;;;;;;
Hogan, Daniel;Main;Quality Assurance;750-58-1894;(252) 843-3766;Contract;06/04/2015;April; 5 ;; 21.580 ;3;;;;;;
Holland, Donald;Taft;Engineering/Maintenance;403-50-4590;(919) 240-0511;Contract;29/12/1996;December; 24 ;; 64.460 ;1;;;;;;
Holloway, Chris;West;Manufacturing;466-94-7318;(919) 176-5611;Full Time;20/11/2015;November; 5 ; DMR ; 43.820 ;2;;;;;;
Holmes, Tito;North;Quality Control;894-85-5096;(919) 393-6198;Half-Time;21/11/2001;November; 19 ; DM ; 37.660 ;4;;;;;;
Nunez, Benning;North;Admin Training;768-68-1542;(802) 167-3267;Full Time;19/11/2001;November; 19 ; DMR ; 60.830 ;2;;;;;;
Hood, Renee;South;Peptide Chemistry;665-00-6199;(252) 555-5817;Full Time;26/11/2004;November; 16 ; D ; 45.450 ;5;;;;;;
Hoover, Evangeline;West;Process Development;294-13-0565;(919) 374-4359;Full Time;17/11/1996;November; 24 ; DMR ; 26.360 ;1;;;;;;
Hopkins, Lisa;Taft;Operations;634-95-4970;(919) 490-0864;Full Time;21/05/2001;May; 19 ; DMR ; 57.560 ;4;;;;;;
Horn, George;North;Manufacturing;876-77-7922;(252) 735-8099;Contract;14/07/2015;July; 5 ;; 88.840 ;5;;;;;;
Horton, Cleatis;West;Quality Assurance;357-56-8979;(252) 431-6324;Half-Time;18/03/2008;March; 12 ; DM ; 28.525 ;4;;;;;;
House, Paul;Main;Manufacturing;462-99-5574;(252) 343-1009;Full Time;18/08/2003;August; 17 ; DMR ; 88.240 ;5;;;;;;
Houston, Mark;North;Professional Training Group;292-69-3795;(919) 599-0139;Full Time;27/11/1995;November; 25 ; DMR ; 87.950 ;4;;;;;;
Shaffer, Nobuko;Taft;Admin Training;481-33-6564;(919) 647-9087;Full Time;29/09/2003;September; 17 ; R ; 72.090 ;5;;;;;;
Howell, Douglas;North;Quality Control;992-67-4973;(252) 608-8101;Full Time;03/10/2000;October; 20 ; M ; 64.780 ;5;;;;;;
Hubbard, Sandra;South;Manufacturing;366-74-0174;(252) 154-9933;Hourly;30/04/1998;April; 22 ;; 30.416 ;1;;;;;;
Hudson, Lorna;Watson;Engineering/Maintenance;867-67-1341;(252) 831-7543;Half-Time;21/10/2005;October; 15 ; DMR ; 35.280 ;3;;;;;;
Huff, Erik;North;Operations;364-40-4060;(252) 772-2509;Half-Time;26/10/2009;October; 11 ; DMR ; 31.255 ;5;;;;;;
Huffman, Ignacio;West;Manufacturing;661-85-0671;(252) 840-5900;Hourly;19/11/2002;November; 18 ;; 29.176 ;3;;;;;;
Hughes, Kevin;Taft;Quality Assurance;265-99-3407;(919) 355-8443;Contract;29/11/1995;November; 25 ;; 89.450 ;2;;;;;;
Hull, Jeanne;North;Project & Contract Services;302-17-0290;(919) 197-1988;Full Time;22/01/2002;January; 19 ; DMR ; 63.270 ;1;;;;;;
Humphrey, Andrew;Main;Quality Assurance;412-15-9105;(919) 825-2392;Hourly;18/09/2001;September; 19 ;; 33.508 ;4;;;;;;
Hunt, Norman;Taft;Engineering/Maintenance;877-12-2222;(919) 551-1103;Full Time;17/11/2015;November; 5 ; D ; 74.710 ;2;;;;;;
Sloan, Cindy;Main;Admin Training;638-27-1383;(252) 164-1031;Full Time;20/03/2009;March; 11 ; DMR ; 49.350 ;4;;;;;;
Hurst, Thomas;North;Manufacturing;914-33-0398;(919) 349-8222;Full Time;28/01/2011;January; 10 ; R ; 65.720 ;1;;;;;;
Hutchinson, Robin;North;Manufacturing;243-06-2914;(919) 401-8412;Full Time;27/02/2001;February; 20 ; DMR ; 73.450 ;3;;;;;;
Ingram, Matt;Taft;Engineering/Operations;640-30-1378;(252) 466-3056;Half-Time;08/09/2015;September; 5 ; R ; 46.230 ;2;;;;;;
Jackson, Eric;Watson;Research/Development;827-27-7063;(252) 887-3234;Hourly;16/10/2015;October; 5 ;; 19.044 ;1;;;;;;
Jacobs, Florianne;North;Manufacturing;291-71-5078;(919) 766-2359;Full Time;25/10/1996;October; 24 ; DR ; 56.900 ;5;;;;;;
James, Lynn;Taft;Quality Assurance;626-50-1093;(919) 282-2520;Contract;25/11/2008;November; 12 ;; 64.590 ;1;;;;;;
Valdez, Ann;Taft;Admin Training;356-11-0882;(252) 793-6742;Half-Time;12/12/2003;December; 17 ; DMR ; 15.240 ;1;;;;;;
Jenkins, Scott;Watson;Process Development;443-23-8477;(919) 862-4601;Full Time;03/06/2013;June; 7 ; R ; 80.090 ;2;;;;;;
Jennings, Gary;Taft;Engineering/Maintenance;344-09-0854;(252) 354-2524;Full Time;25/02/2001;February; 20 ; D ; 82.120 ;5;;;;;;
Jensen, Kristina;West;Manufacturing;354-61-9285;(252) 665-7361;Full Time;08/09/2003;September; 17 ; DM ; 22.660 ;2;;;;;;
Jimenez, Dominic;West;Manufacturing;361-92-5033;(919) 663-3751;Contract;14/08/2009;August; 11 ;; 71.830 ;3;;;;;;
Johns, Chad;Main;Engineering/Operations;106-96-6222;(919) 831-0129;Contract;05/01/2013;January; 8 ;; 35.620 ;4;;;;;;
Johnson, Mary Jo;Main;Operations;555-02-5137;(252) 656-5171;Half-Time;05/01/1996;January; 25 ; M ; 13.090 ;4;;;;;;
Johnston, Daniel;North;Quality Assurance;932-55-3359;(919) 237-6215;Contract;15/07/2013;July; 7 ;; 43.320 ;5;;;;;;
Jones, John;Main;Quality Assurance;836-95-3739;(252) 644-3692;Half-Time;21/10/2004;October; 16 ; M ; 20.990 ;4;;;;;;
Jordan, Mark;Watson;Operations;650-78-4238;(919) 467-9864;Contract;12/01/2002;January; 19 ;; 53.870 ;2;;;;;;
Joseph, Christopher;North;Process Development;365-49-9498;(252) 357-5849;Full Time;14/01/2011;January; 10 ; DMR ; 47.060 ;4;;;;;;
Juarez, Neill;North;Process Development;145-24-0921;(252) 522-7751;Full Time;02/09/2012;September; 8 ; M ; 50.990 ;4;;;;;;
Keith, Thomas;West;Engineering/Maintenance;648-91-1225;(252) 582-9090;Contract;28/10/1997;October; 23 ;; 83.020 ;4;;;;;;
Keller, Jason;South;Major Mfg Projects;477-11-0649;(919) 135-1512;Full Time;17/03/2006;March; 15 ; DM ; 45.150 ;1;;;;;;
Kelley, Nancy;Main;Project & Contract Services;880-74-7384;(919) 522-0001;Full Time;30/07/1996;July; 24 ; M ; 79.400 ;4;;;;;;
Kelly, Icelita;Taft;Quality Control;799-75-4905;(252) 675-7210;Full Time;15/06/2001;June; 19 ; DMR ; 31.690 ;4;;;;;;
Kemp, Holly;North;Manufacturing Admin;214-23-4804;(252) 890-8079;Full Time;26/08/2008;August; 12 ; R ; 53.870 ;2;;;;;;
Kennedy, Kimberly;West;Project & Contract Services;525-69-9951;(919) 840-0261;Hourly;16/03/2003;March; 18 ;; 14.332 ;5;;;;;;
Kent, Angus;Main;Manufacturing;687-00-6783;(252) 491-9418;Contract;26/08/2001;August; 19 ;; 66.010 ;2;;;;;;
Kerr, Mihaela;West;Operations;948-18-9231;(252) 768-7161;Full Time;22/01/1997;January; 24 ; DMR ; 37.020 ;2;;;;;;
Kim, Deborah;South;Quality Assurance;614-56-2070;(919) 248-5673;Half-Time;27/04/2008;April; 12 ; DMR ; 48.740 ;1;;;;;;
King, Taslim;South;Quality Assurance;269-87-3478;(919) 824-4224;Full Time;28/07/2002;July; 18 ; R ; 32.120 ;1;;;;;;
Kirby, Michael;Taft;Quality Assurance;462-46-1365;(252) 712-6482;Full Time;07/12/1997;December; 23 ; R ; 45.110 ;2;;;;;;
Kirk, Chris;North;Quality Control;862-69-8919;(252) 278-0847;Full Time;22/09/2009;September; 11 ; DM ; 48.280 ;4;;;;;;
Klein, Robert;West;Engineering/Maintenance;339-39-8339;(252) 768-2821;Full Time;04/04/2003;April; 17 ; M ; 34.780 ;4;;;;;;
Knight, Denise;North;Quality Assurance;100-70-3382;(919) 515-7047;Full Time;25/04/1998;April; 22 ; DMR ; 54.200 ;4;;;;;;
Knox, Lori;North;Project & Contract Services;963-00-0861;(252) 279-2063;Contract;05/01/2001;January; 20 ;; 73.190 ;1;;;;;;
Beard, Sandi;West;Executive Education;719-93-7584;(919) 165-3055;Full Time;12/05/1996;May; 24 ; R ; 37.620 ;5;;;;;;
Kramer, Faye;North;Project & Contract Services;556-32-7593;(252) 332-4762;Contract;09/06/2001;June; 19 ;; 60.070 ;2;;;;;;
Lamb, John;West;Quality Assurance;512-40-4764;(919) 397-6775;Full Time;23/02/2004;February; 17 ; R ; 39.000 ;3;;;;;;
Lambert, Jody;North;Quality Control;240-24-1467;(252) 491-4916;Hourly;11/03/2002;March; 19 ;; 28.768 ;3;;;;;;
Landry, Linda;South;Quality Control;426-81-2736;(919) 839-9625;Contract;24/04/1998;April; 22 ;; 35.240 ;3;;;;;;
Lane, Brandyn;South;Project & Contract Services;486-01-6972;(919) 453-2398;Half-Time;23/07/2013;July; 7 ; DMR ; 45.565 ;1;;;;;;
Lang, Dana;North;Quality Control;212-55-8012;(252) 686-0208;Full Time;31/12/2005;December; 15 ; DMR ; 63.060 ;4;;;;;;
Lara, Mark;Watson;Manufacturing;590-89-6401;(252) 312-2603;Full Time;15/09/2009;September; 11 ; DM ; 70.760 ;1;;;;;;
Larsen, Lara;West;Quality Assurance;765-83-6666;(252) 501-3435;Full Time;26/12/2011;December; 9 ; R ; 43.600 ;5;;;;;;
Larson, David;Main;Project & Contract Services;554-02-9540;(252) 154-4288;Contract;12/10/1995;October; 25 ;; 58.650 ;4;;;;;;
Lawrence, Ronald;North;Project & Contract Services;449-98-7941;(252) 874-2282;Full Time;11/08/2015;August; 5 ; M ; 63.206 ;1;;;;;;
Lawson, Erin;Taft;Quality Control;332-49-4481;(919) 209-4386;Full Time;28/07/2003;July; 17 ; R ; 48.410 ;5;;;;;;
Leach, Jingwen;West;Manufacturing;612-29-5735;(919) 522-8292;Full Time;05/01/2002;January; 19 ; R ; 73.144 ;5;;;;;;
Leblanc, Jenny;Taft;Manufacturing;624-23-4626;(252) 307-7504;Half-Time;21/07/2001;July; 19 ; DMR ; 46.645 ;5;;;;;;
Lee, Charles;South;Quality Control;311-30-9049;(252) 756-0634;Full Time;07/01/2004;January; 17 ; D ; 77.680 ;3;;;;;;
Leon, Emily;North;Project & Contract Services;953-10-9212;(919) 166-4940;Full Time;03/07/2015;July; 5 ; M ; 59.150 ;4;;;;;;
Leonard, Paul;Main;Manufacturing;384-45-4025;(252) 206-4219;Contract;06/08/2004;August; 16 ;; 23.810 ;4;;;;;;
Lester, Sherri;West;Audit Services;515-54-3972;(919) 353-9483;Full Time;17/01/2005;January; 16 ; M ; 56.440 ;1;;;;;;
Lewis, Frederick;North;Operations;443-47-6169;(919) 508-5809;Full Time;22/01/1998;January; 23 ; M ; 86.540 ;4;;;;;;
Lindsey, Deborah;West;Manufacturing;318-06-8637;(919) 370-9408;Contract;14/01/2013;January; 8 ;; 62.780 ;4;;;;;;
